Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6795103909f635b61005d513,6793751badf02fd55a1f0fb9,AWAITING REVIEW,Not Applicable,2025-01-25T16:24:47.770000Z,2025-01-25T16:49:31.968000Z,,2025-01-25T16:52:29.136834Z,1485.0,C7C8RT8U,2,24,Male,Black,Kenya,United States,United States,English,No,Part-Time
679511de6387b4fb6be31979,66a0172986186ec228714d51,AWAITING REVIEW,Not Applicable,2025-01-25T16:31:38.609000Z,2025-01-25T16:54:20.214000Z,,2025-01-25T16:54:20.907582Z,1362.0,C7C8RT8U,793,25,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
679511e1ed9c3a2d60180cae,66986c9ad97d2e5ff07329c1,AWAITING REVIEW,Not Applicable,2025-01-25T16:31:41.387000Z,2025-01-25T17:07:02.536000Z,,2025-01-25T17:07:03.483197Z,2122.0,C7C8RT8U,757,29,Male,Asian,United States,United States,United States,English,No,Full-Time
67951289add3d4ce287a6368,65610d3b7a06953204bbbb62,AWAITING REVIEW,Not Applicable,2025-01-25T16:34:24.592000Z,2025-01-25T16:56:21.820000Z,,2025-01-25T16:56:22.332569Z,1318.0,C7C8RT8U,50,24,Female,Black,United States,United States,United States,English,No,DATA_EXPIRED
679512ccd1199325cc883497,677527596d51edae18442b1e,AWAITING REVIEW,Not Applicable,2025-01-25T16:35:33.426000Z,2025-01-25T16:57:15.046000Z,,2025-01-25T16:57:15.721848Z,1302.0,C7C8RT8U,3,29,Male,Black,Kenya,United States,United States,English,Yes,Part-Time
67951463b64fec483e23d92c,6595ddebdbc6d36b1ef5462a,AWAITING REVIEW,Not Applicable,2025-01-25T16:42:17.620000Z,2025-01-25T17:08:55.552000Z,,2025-01-25T17:08:56.145691Z,1598.0,C7C8RT8U,371,50,Female,Mixed,United States,United States,United States,English,No,Full-Time
6795196ba7bd536b8d14fe82,6774ed8fea9a49a640664efb,AWAITING REVIEW,Not Applicable,2025-01-25T17:04:07.206000Z,2025-01-25T17:28:59.625000Z,,2025-01-25T17:29:00.497650Z,1493.0,C7C8RT8U,66,25,Female,Black,Nigeria,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67951a3a6f75ca4cb41800f2,679359525d6dac68ab9d189f,AWAITING REVIEW,Not Applicable,2025-01-25T17:11:50.690000Z,2025-01-25T17:38:02.093000Z,,2025-01-25T17:38:04.380350Z,1572.0,C7C8RT8U,4,35,Male,White,United States,United States,United States,English,No,Other
67951a42efdeead586cba6db,576704bffdff7a0001c12890,AWAITING REVIEW,Not Applicable,2025-01-25T17:07:59.231000Z,2025-01-25T17:21:02.103000Z,,2025-01-25T17:21:02.797557Z,783.0,C7C8RT8U,5812,42,Male,Mixed,United States,United States,United States,English,No,Full-Time
679ab3a0eaa7dc34aebe73fa,6629517257384969d8995d78,AWAITING REVIEW,Not Applicable,2025-01-29T23:03:05.251000Z,2025-01-29T23:21:07.732000Z,,2025-01-29T23:21:09.457185Z,1083.0,NOCODE,1867,49,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
679ab429ebcf47617fe24215,5a8cba1a8fe2dc00010643f0,AWAITING REVIEW,Not Applicable,2025-01-29T23:05:28.439000Z,2025-01-29T23:33:36.656000Z,,2025-01-29T23:33:37.830262Z,1689.0,5a8cba1a8fe2dc00010643f0,482,63,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
679c23bc82d2811b834f00a0,674934b4b6bd253249a72d63,AWAITING REVIEW,Not Applicable,2025-01-31T01:18:11.658000Z,2025-01-31T02:06:21.433000Z,,2025-01-31T02:06:22.315831Z,2890.0,C7C8RT8U,269,53,Male,White,United States,United States,United States,English,No,Full-Time
679c23bc8d59197a6a99175e,65bfa2967c731d263eb29732,AWAITING REVIEW,Not Applicable,2025-01-31T01:13:50.751000Z,2025-01-31T01:34:25.672000Z,,2025-01-31T01:34:26.339800Z,1235.0,C7C8RT8U,722,28,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
679c23d41bb54623aebe87e2,678d97abed191932719e540e,AWAITING REVIEW,Not Applicable,2025-01-31T01:13:56.739000Z,2025-01-31T01:33:24.409000Z,,2025-01-31T01:33:25.728404Z,1168.0,C7C8RT8U,67,21,Male,Asian,United States,United States,United States,English,Yes,Unemployed (and job seeking)
679c23d6ea31c37473567d34,678f1df528b89f7aa06b930e,AWAITING REVIEW,Not Applicable,2025-01-31T01:14:07.807000Z,2025-01-31T01:29:08.664000Z,,2025-01-31T01:29:09.183931Z,901.0,C7C8RT8U,33,22,Female,White,United States,United States,United States,English,No,Part-Time
679c243359ab7d5053211f49,5e8f53644b34ff22d9b3a1c5,AWAITING REVIEW,Not Applicable,2025-01-31T01:17:21.584000Z,2025-01-31T01:51:34.315000Z,,2025-01-31T01:51:35.260301Z,2053.0,C7C8RT8U,3736,42,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
