"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","view_history","rt","stimulus","response","phase","question_order"
"true","false","[]","[]","[]","preload","0","5638","0.0-0.0","57","1","2025-01-31 01:16:00","af8d355d56820e421d246a7037deb6e6","74.80.146.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6747cb2578e508f43be65a76","67949641171f97c04e14fb34","679c2440f7b012f9e0675f88","","","","","",""
"","","","","","instructions","1","13422","0.0-1.0","57","1","2025-01-31 01:16:00","af8d355d56820e421d246a7037deb6e6","74.80.146.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6747cb2578e508f43be65a76","67949641171f97c04e14fb34","679c2440f7b012f9e0675f88","[{""page_index"":0,""viewing_time"":7782}]","7782","","","",""
"","","","","","html-keyboard-response","2","13931","0.0-2.0","57","1","2025-01-31 01:16:00","af8d355d56820e421d246a7037deb6e6","74.80.146.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6747cb2578e508f43be65a76","67949641171f97c04e14fb34","679c2440f7b012f9e0675f88","","null","<p> + <p/>","null","",""
"","","","","","instructions","3","110300","0.0-3.0","57","1","2025-01-31 01:16:00","af8d355d56820e421d246a7037deb6e6","74.80.146.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6747cb2578e508f43be65a76","67949641171f97c04e14fb34","679c2440f7b012f9e0675f88","[{""page_index"":0,""viewing_time"":3447},{""page_index"":1,""viewing_time"":17189},{""page_index"":2,""viewing_time"":53407},{""page_index"":3,""viewing_time"":9399},{""page_index"":4,""viewing_time"":12926}]","96368","","","",""
"","","","","","html-button-response","4","146254","0.0-4.0-0.0-0.0","57","1","2025-01-31 01:16:00","af8d355d56820e421d246a7037deb6e6","74.80.146.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6747cb2578e508f43be65a76","67949641171f97c04e14fb34","679c2440f7b012f9e0675f88","","35951","","0","Intro Trial",""
"","","","","","html-button-response","5","147825","0.0-4.1-0.1-0.1","57","1","2025-01-31 01:16:00","af8d355d56820e421d246a7037deb6e6","74.80.146.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6747cb2578e508f43be65a76","67949641171f97c04e14fb34","679c2440f7b012f9e0675f88","","1569","","2","Intro Trial",""
"","","","","","html-button-response","6","152838","0.0-4.2-0.2-0.2","57","1","2025-01-31 01:16:00","af8d355d56820e421d246a7037deb6e6","74.80.146.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6747cb2578e508f43be65a76","67949641171f97c04e14fb34","679c2440f7b012f9e0675f88","","5011","","1","Intro Trial",""
"","","","","","html-button-response","7","154137","0.0-4.3-0.3-0.3","57","1","2025-01-31 01:16:00","af8d355d56820e421d246a7037deb6e6","74.80.146.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6747cb2578e508f43be65a76","67949641171f97c04e14fb34","679c2440f7b012f9e0675f88","","1298","","3","Intro Trial",""
"","","","","","html-button-response","8","158453","0.0-4.4-0.4-0.4","57","1","2025-01-31 01:16:00","af8d355d56820e421d246a7037deb6e6","74.80.146.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6747cb2578e508f43be65a76","67949641171f97c04e14fb34","679c2440f7b012f9e0675f88","","4313","","2","Intro Trial",""
"","","","","","html-button-response","9","160010","0.0-4.5-0.5-0.5","57","1","2025-01-31 01:16:00","af8d355d56820e421d246a7037deb6e6","74.80.146.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6747cb2578e508f43be65a76","67949641171f97c04e14fb34","679c2440f7b012f9e0675f88","","1555","","4","Intro Trial",""
"","","","","","html-button-response","10","163241","0.0-4.6-0.6-0.6","57","1","2025-01-31 01:16:00","af8d355d56820e421d246a7037deb6e6","74.80.146.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6747cb2578e508f43be65a76","67949641171f97c04e14fb34","679c2440f7b012f9e0675f88","","3230","","0","Intro Trial",""
"","","","","","html-button-response","11","164691","0.0-4.7-0.7-0.7","57","1","2025-01-31 01:16:00","af8d355d56820e421d246a7037deb6e6","74.80.146.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6747cb2578e508f43be65a76","67949641171f97c04e14fb34","679c2440f7b012f9e0675f88","","1447","","4","Intro Trial",""
"","","","","","html-button-response","12","166832","0.0-4.8-0.8-0.8","57","1","2025-01-31 01:16:00","af8d355d56820e421d246a7037deb6e6","74.80.146.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6747cb2578e508f43be65a76","67949641171f97c04e14fb34","679c2440f7b012f9e0675f88","","2139","","1","Intro Trial",""
"","","","","","html-button-response","13","168092","0.0-4.9-0.9-0.9","57","1","2025-01-31 01:16:00","af8d355d56820e421d246a7037deb6e6","74.80.146.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6747cb2578e508f43be65a76","67949641171f97c04e14fb34","679c2440f7b012f9e0675f88","","1259","","2","Intro Trial",""
"","","","","","html-button-response","14","170434","0.0-4.10-0.10-0.10","57","1","2025-01-31 01:16:00","af8d355d56820e421d246a7037deb6e6","74.80.146.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6747cb2578e508f43be65a76","67949641171f97c04e14fb34","679c2440f7b012f9e0675f88","","2340","","3","Intro Trial",""
"","","","","","html-button-response","15","171747","0.0-4.11-0.11-0.11","57","1","2025-01-31 01:16:00","af8d355d56820e421d246a7037deb6e6","74.80.146.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6747cb2578e508f43be65a76","67949641171f97c04e14fb34","679c2440f7b012f9e0675f88","","1310","","4","Intro Trial",""
"","","","","","html-button-response","16","173627","0.0-4.12-0.12-0.12","57","1","2025-01-31 01:16:00","af8d355d56820e421d246a7037deb6e6","74.80.146.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6747cb2578e508f43be65a76","67949641171f97c04e14fb34","679c2440f7b012f9e0675f88","","1878","","5","Intro Trial",""
"","","","","","html-keyboard-response","17","187410","0.0-5.0","57","1","2025-01-31 01:16:00","af8d355d56820e421d246a7037deb6e6","74.80.146.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6747cb2578e508f43be65a76","67949641171f97c04e14fb34","679c2440f7b012f9e0675f88","","13781","[""You sorted incorrectly by using the balance 6 times. <br><br> <img src='G_3.jpg' height='90'><img src='G_5.jpg' height='90'><img src='G_2.jpg' height='90'><img src='G_1.jpg' height='90'><img src='G_4.jpg' height='90'><br><br> Your final order is 3,1,2,4,5<br><br><br>Omgne Sort in this game will allow you to sort correctly by using the balance 8 times. Press Enter to learn it!""]","enter","",""
"","","","","","html-keyboard-response","18","195386","0.0-6.0","57","1","2025-01-31 01:16:00","af8d355d56820e421d246a7037deb6e6","74.80.146.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6747cb2578e508f43be65a76","67949641171f97c04e14fb34","679c2440f7b012f9e0675f88","","7975","<p>Welcome to the learning phase! <br><br> You will learn by six examples. The following learning trials will not be used to calculate your performance. <br><br> Press Enter to continue.<p/>","enter","",""
"","","","","","html-keyboard-response","19","202535","0.0-7.0","57","1","2025-01-31 01:16:00","af8d355d56820e421d246a7037deb6e6","74.80.146.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6747cb2578e508f43be65a76","67949641171f97c04e14fb34","679c2440f7b012f9e0675f88","","7149","[""Example 1<br><br>You will watch Omnge Sort in action. Try to identify any patterns in the comparisons made by this method. <br><br>Press Enter to continue.""]","enter","",""
"","","","","","html-keyboard-response","20","203040","0.0-8.0","57","1","2025-01-31 01:16:00","af8d355d56820e421d246a7037deb6e6","74.80.146.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6747cb2578e508f43be65a76","67949641171f97c04e14fb34","679c2440f7b012f9e0675f88","","null","<img id='selected' src='G_3.jpg' height='90'> <img src='G_5.jpg' height='90'> <img src='G_1.jpg' height='90'> <img src='G_7.jpg' height='90'> <img src='G_9.jpg' height='90'>","null","Animation0",""
"","","","","","html-keyboard-response","21","203554","0.0-9.0","57","1","2025-01-31 01:16:00","af8d355d56820e421d246a7037deb6e6","74.80.146.36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36","WebKit","Chrome","131.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","6747cb2578e508f43be65a76","67949641171f97c04e14fb34","679c2440f7b012f9e0675f88","","null","<img id='selected' src='G_3.jpg' height='90'> <img id='selected' src='G_5.jpg' height='90'> <img src='G_1.jpg' height='90'> <img src='G_7.jpg' height='90'> <img src='G_9.jpg' height='90'>","null","Animation0",""
