"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","view_history","rt","stimulus","response","phase","question_order","presented_choices"
"true","false","[]","[]","[]","preload","0","238","0.0-0.0","45","1","2025-02-02 04:50:15","bc01a2b6f61d06f6604adb8657495020","68.161.162.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5aa806e7777df200016088c5","679edb085803f58d6bbd31ca","679ef93acf36ed17eee64d2d","","","","","","",""
"","","","","","instructions","1","19464","0.0-1.0","45","1","2025-02-02 04:50:15","bc01a2b6f61d06f6604adb8657495020","68.161.162.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5aa806e7777df200016088c5","679edb085803f58d6bbd31ca","679ef93acf36ed17eee64d2d","[{""page_index"":0,""viewing_time"":19222}]","19223","","","","",""
"","","","","","html-keyboard-response","2","19974","0.0-2.0","45","1","2025-02-02 04:50:15","bc01a2b6f61d06f6604adb8657495020","68.161.162.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5aa806e7777df200016088c5","679edb085803f58d6bbd31ca","679ef93acf36ed17eee64d2d","","null","<p> + <p/>","null","","",""
"","","","","","instructions","3","64349","0.0-3.0","45","1","2025-02-02 04:50:15","bc01a2b6f61d06f6604adb8657495020","68.161.162.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5aa806e7777df200016088c5","679edb085803f58d6bbd31ca","679ef93acf36ed17eee64d2d","[{""page_index"":0,""viewing_time"":14968},{""page_index"":1,""viewing_time"":12199},{""page_index"":2,""viewing_time"":6936},{""page_index"":3,""viewing_time"":2930},{""page_index"":4,""viewing_time"":7341}]","44373","","","","",""
"","","","","","html-button-response","4","66318","0.0-4.0-0.0-0.0","45","1","2025-02-02 04:50:15","bc01a2b6f61d06f6604adb8657495020","68.161.162.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5aa806e7777df200016088c5","679edb085803f58d6bbd31ca","679ef93acf36ed17eee64d2d","","1967","","0","Intro Trial","",""
"","","","","","html-button-response","5","68849","0.0-4.1-0.1-0.1","45","1","2025-02-02 04:50:15","bc01a2b6f61d06f6604adb8657495020","68.161.162.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5aa806e7777df200016088c5","679edb085803f58d6bbd31ca","679ef93acf36ed17eee64d2d","","2530","","3","Intro Trial","",""
"","","","","","html-button-response","6","79026","0.0-4.2-0.2-0.2","45","1","2025-02-02 04:50:15","bc01a2b6f61d06f6604adb8657495020","68.161.162.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5aa806e7777df200016088c5","679edb085803f58d6bbd31ca","679ef93acf36ed17eee64d2d","","10175","","0","Intro Trial","",""
"","","","","","html-button-response","7","82057","0.0-4.3-0.3-0.3","45","1","2025-02-02 04:50:15","bc01a2b6f61d06f6604adb8657495020","68.161.162.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5aa806e7777df200016088c5","679edb085803f58d6bbd31ca","679ef93acf36ed17eee64d2d","","3029","","1","Intro Trial","",""
"","","","","","html-button-response","8","89988","0.0-4.4-0.4-0.4","45","1","2025-02-02 04:50:15","bc01a2b6f61d06f6604adb8657495020","68.161.162.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5aa806e7777df200016088c5","679edb085803f58d6bbd31ca","679ef93acf36ed17eee64d2d","","7929","","2","Intro Trial","",""
"","","","","","html-button-response","9","90979","0.0-4.5-0.5-0.5","45","1","2025-02-02 04:50:15","bc01a2b6f61d06f6604adb8657495020","68.161.162.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5aa806e7777df200016088c5","679edb085803f58d6bbd31ca","679ef93acf36ed17eee64d2d","","989","","0","Intro Trial","",""
"","","","","","html-button-response","10","92534","0.0-4.6-0.6-0.6","45","1","2025-02-02 04:50:15","bc01a2b6f61d06f6604adb8657495020","68.161.162.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5aa806e7777df200016088c5","679edb085803f58d6bbd31ca","679ef93acf36ed17eee64d2d","","1553","","3","Intro Trial","",""
"","","","","","html-button-response","11","93472","0.0-4.7-0.7-0.7","45","1","2025-02-02 04:50:15","bc01a2b6f61d06f6604adb8657495020","68.161.162.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5aa806e7777df200016088c5","679edb085803f58d6bbd31ca","679ef93acf36ed17eee64d2d","","936","","1","Intro Trial","",""
"","","","","","html-button-response","12","94794","0.0-4.8-0.8-0.8","45","1","2025-02-02 04:50:15","bc01a2b6f61d06f6604adb8657495020","68.161.162.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5aa806e7777df200016088c5","679edb085803f58d6bbd31ca","679ef93acf36ed17eee64d2d","","1320","","4","Intro Trial","",""
"","","","","","html-button-response","13","95752","0.0-4.9-0.9-0.9","45","1","2025-02-02 04:50:15","bc01a2b6f61d06f6604adb8657495020","68.161.162.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5aa806e7777df200016088c5","679edb085803f58d6bbd31ca","679ef93acf36ed17eee64d2d","","956","","2","Intro Trial","",""
"","","","","","html-button-response","14","99351","0.0-4.10-0.10-0.10","45","1","2025-02-02 04:50:15","bc01a2b6f61d06f6604adb8657495020","68.161.162.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5aa806e7777df200016088c5","679edb085803f58d6bbd31ca","679ef93acf36ed17eee64d2d","","3598","","4","Intro Trial","",""
"","","","","","html-button-response","15","100088","0.0-4.11-0.11-0.11","45","1","2025-02-02 04:50:15","bc01a2b6f61d06f6604adb8657495020","68.161.162.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5aa806e7777df200016088c5","679edb085803f58d6bbd31ca","679ef93acf36ed17eee64d2d","","735","","3","Intro Trial","",""
"","","","","","html-button-response","16","102509","0.0-4.12-0.12-0.12","45","1","2025-02-02 04:50:15","bc01a2b6f61d06f6604adb8657495020","68.161.162.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5aa806e7777df200016088c5","679edb085803f58d6bbd31ca","679ef93acf36ed17eee64d2d","","2419","","4","Intro Trial","",""
"","","","","","html-button-response","17","103182","0.0-4.13-0.13-0.13","45","1","2025-02-02 04:50:15","bc01a2b6f61d06f6604adb8657495020","68.161.162.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5aa806e7777df200016088c5","679edb085803f58d6bbd31ca","679ef93acf36ed17eee64d2d","","671","","3","Intro Trial","",""
"","","","","","html-button-response","18","104409","0.0-4.14-0.14-0.14","45","1","2025-02-02 04:50:15","bc01a2b6f61d06f6604adb8657495020","68.161.162.68","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5aa806e7777df200016088c5","679edb085803f58d6bbd31ca","679ef93acf36ed17eee64d2d","","1224","","4","Intro Trial","",""
