"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","view_history","rt","stimulus","response","phase","question_order","presented_choices"
"true","false","[]","[]","[]","preload","0","673","0.0-0.0","9","1","2025-02-02 02:56:10","bc01a2b6f61d06f6604adb8657495020","75.182.243.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,de-DE;q=0.8,de;q=0.7","663e3cee91031227e894384a","679edb085803f58d6bbd31ca","679edec050264907ab075f4a","","","","","","",""
"","","","","","instructions","1","4279","0.0-1.0","9","1","2025-02-02 02:56:10","bc01a2b6f61d06f6604adb8657495020","75.182.243.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,de-DE;q=0.8,de;q=0.7","663e3cee91031227e894384a","679edb085803f58d6bbd31ca","679edec050264907ab075f4a","[{""page_index"":0,""viewing_time"":3605}]","3605","","","","",""
"","","","","","html-keyboard-response","2","4794","0.0-2.0","9","1","2025-02-02 02:56:10","bc01a2b6f61d06f6604adb8657495020","75.182.243.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,de-DE;q=0.8,de;q=0.7","663e3cee91031227e894384a","679edb085803f58d6bbd31ca","679edec050264907ab075f4a","","null","<p> + <p/>","null","","",""
"","","","","","instructions","3","31992","0.0-3.0","9","1","2025-02-02 02:56:10","bc01a2b6f61d06f6604adb8657495020","75.182.243.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,de-DE;q=0.8,de;q=0.7","663e3cee91031227e894384a","679edb085803f58d6bbd31ca","679edec050264907ab075f4a","[{""page_index"":0,""viewing_time"":5212},{""page_index"":1,""viewing_time"":5678},{""page_index"":2,""viewing_time"":7997},{""page_index"":3,""viewing_time"":2218},{""page_index"":4,""viewing_time"":6092}]","27197","","","","",""
"","","","","","html-button-response","4","34288","0.0-4.0-0.0-0.0","9","1","2025-02-02 02:56:10","bc01a2b6f61d06f6604adb8657495020","75.182.243.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,de-DE;q=0.8,de;q=0.7","663e3cee91031227e894384a","679edb085803f58d6bbd31ca","679edec050264907ab075f4a","","2295","","0","Intro Trial","",""
"","","","","","html-button-response","5","34990","0.0-4.1-0.1-0.1","9","1","2025-02-02 02:56:10","bc01a2b6f61d06f6604adb8657495020","75.182.243.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,de-DE;q=0.8,de;q=0.7","663e3cee91031227e894384a","679edb085803f58d6bbd31ca","679edec050264907ab075f4a","","701","","2","Intro Trial","",""
"","","","","","html-button-response","6","42354","0.0-4.2-0.2-0.2","9","1","2025-02-02 02:56:10","bc01a2b6f61d06f6604adb8657495020","75.182.243.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,de-DE;q=0.8,de;q=0.7","663e3cee91031227e894384a","679edb085803f58d6bbd31ca","679edec050264907ab075f4a","","7362","","4","Intro Trial","",""
"","","","","","html-button-response","7","42767","0.0-4.3-0.3-0.3","9","1","2025-02-02 02:56:10","bc01a2b6f61d06f6604adb8657495020","75.182.243.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,de-DE;q=0.8,de;q=0.7","663e3cee91031227e894384a","679edb085803f58d6bbd31ca","679edec050264907ab075f4a","","412","","1","Intro Trial","",""
"","","","","","html-button-response","8","44606","0.0-4.4-0.4-0.4","9","1","2025-02-02 02:56:10","bc01a2b6f61d06f6604adb8657495020","75.182.243.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,de-DE;q=0.8,de;q=0.7","663e3cee91031227e894384a","679edb085803f58d6bbd31ca","679edec050264907ab075f4a","","1838","","2","Intro Trial","",""
"","","","","","html-button-response","9","45004","0.0-4.5-0.5-0.5","9","1","2025-02-02 02:56:10","bc01a2b6f61d06f6604adb8657495020","75.182.243.59","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","WebKit","Chrome","132.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9,de-DE;q=0.8,de;q=0.7","663e3cee91031227e894384a","679edb085803f58d6bbd31ca","679edec050264907ab075f4a","","397","","4","Intro Trial","",""
