Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
679edd70168c9fbd5441274d,6791a8549ed23cc3997dd33a,"AWAITING REVIEW (Not usable, mistake in study)",Not Applicable,2025-02-02T02:50:34.095000Z,2025-02-02T03:19:59.243000Z,,2025-02-02T03:19:59.929180Z,1766,C7C8RT8U,1,59,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
679edec050264907ab075f4a,663e3cee91031227e894384a,AWAITING REVIEW,Not Applicable,2025-02-02T02:56:07.956000Z,2025-02-02T03:09:02.963000Z,,2025-02-02T03:09:03.696234Z,776,C7C8RT8U,448,26,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
679ededacd435ef449bd249e,659ac6d9e91b332d5e91216c,AWAITING REVIEW,Not Applicable,2025-02-02T02:56:31.316000Z,2025-02-02T03:17:00.462000Z,,2025-02-02T03:17:01.089945Z,1230,C7C8RT8U,238,30,Female,Mixed,United States,United States,United States,English,Yes,Full-Time
679edf585a3632dbd83c4e98,60fe08ddc8e72aef56771482,AWAITING REVIEW,Not Applicable,2025-02-02T02:58:44.367000Z,2025-02-02T03:20:05.588000Z,,2025-02-02T03:20:06.387788Z,1282,C7C8RT8U,88,27,Female,White,United States,United States,United States,English,No,Part-Time
679edf70b8700caeeac4201c,6442842843aab883445d6708,AWAITING REVIEW,Not Applicable,2025-02-02T02:59:16.383000Z,2025-02-02T03:22:42.788000Z,,2025-02-02T03:22:43.415569Z,1407,C7C8RT8U,0,28,Male,Asian,United Arab Emirates,United States,United States,English,No,Part-Time
679ee0ada7ec9ae3889c8c0e,667abe08bc794718ca0cf87b,AWAITING REVIEW,Not Applicable,2025-02-02T03:04:21.215000Z,2025-02-02T03:43:51.375000Z,,2025-02-02T03:43:52.054119Z,2371,C7C8RT8U,814,30,Female,White,United States,United States,United States,English,No,Part-Time
679ee17da7ec9ae3889c8c20,5f4d3cb5fdda0b2c403fb801,AWAITING REVIEW,Not Applicable,2025-02-02T03:07:41.435000Z,2025-02-02T03:34:00.380000Z,,2025-02-02T03:34:01.004030Z,1579,C7C8RT8U,612,27,Prefer not to say,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
679ee1811e5ee26e9178f22b,6685bda9fe63421c0f632414,AWAITING REVIEW,Not Applicable,2025-02-02T03:07:50.328000Z,2025-02-02T03:48:07.096000Z,,2025-02-02T03:48:07.793413Z,2417,C7C8RT8U,734,27,Male,Mixed,United States,United States,United States,English,No,Full-Time
679ee2a7fdc71b640a413a6f,661de1d2f9c50b06f796b9cc,AWAITING REVIEW,Not Applicable,2025-02-02T03:13:00.209000Z,2025-02-02T03:30:57.162000Z,,2025-02-02T03:30:57.873983Z,1077,C7C8RT8U,430,31,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
679ee2b0add92295c037602e,6413c7853eba2b2215197ff4,AWAITING REVIEW,Not Applicable,2025-02-02T03:13:07.651000Z,2025-02-02T03:30:55.784000Z,,2025-02-02T03:30:56.807010Z,1069,C7C8RT8U.,2411,70,Female,White,United States,United States,United States,English,No,Other
