,run_id,Notes
0,55,Check if it is moving left to right. They check blocks next to each other starting from the very left. If they don't swap go to the 2nd and 3rd blocks. If they do swap then check if there are any more swaps with previous blocks. Then go back to where you were.
1,63,"KEYS TO OMGNE SORT<br>If a pair changes places, you have to check backwards<br>If a pair does not change places, you go forward<br>After checking forward, go back to where you left off.<br>(For example, if 3 and 4 switch places, you have to go backwards to check, then you start back at 4 by checking 4 and 5)<br><br><br><br>EXAMPLE OF FIVE POSITION SORT<br><br>Start at the left and compare  Position One and Position Two<br>They may or may not switch places.<br><br><br>Compare Position Two and Position Three.<br>If they change places, compare Positions One and Two.<br>If they don't change places, move on with sort<br><br><br>Compare Position Three and Four<br>If they change places, compare Positions Two and Three<br>  If they change places, compare Positions One and Two<br>  If they don't change places, move on with sort<br>If they don't change places, move on with sort<br><br><br>Compare Position Four and Five<br>If they change places, compare Positions Three and Four<br>  If they change places, compare Positions Two and Three<br>    If they change places, compare Positions One and Two<br>    If they don't change places, move on with sort<br>  If they don't change places, move on with sort<br>If they don't change places, move on with sort<br><br>done<br><br>"
2,72,"Step 1: Designate the leftmost object as Object A.<br><br>Step 2: Check if swapping Object A with its right neighbor is valid (based on a predefined rule, such as its weight).<br><br>If invalid, designate the right neighbor as the new Object A and repeat Step 2.<br><br>If valid, swap their positions, designate the swapped neighbor as Object B, note Object A’s position, and proceed to Step 3.<br><br>Step 3: Propagate Object B to the left, following the same logic as Step 2 but with two changes:<br><br>The goal direction is now left.<br><br>If a swap fails, assume Object B is sorted and return to Step 2 and remember Object A's position."
3,56,"Starting with the left-most block, click on the block and the one to its right. If they swap, try to swap the one that just moved with the one to the left. Continue until no more swaps occur, and then proceed to the right."
4,44,"Start by comparing the first two blocks. Then progress by comparing the blocks in the 2nd and 3rd position, and then the 3rd and 4th, and so on.<br><br>Whenever a swap happens, keep note of the ""leading"" block that was placed ahead (to the right). If a swap does not happen, the block on the right that was compared becomes the new ""leading"" block. The block that was just swapped behind the ""leading"" block then needs to be compared to the block behind it. If a swap happens, again compare it to the block behind it. Repeat this until a swap does not happen or until it is placed in the first position. Then return to your ""leading"" block and compare it to the block ahead of it."
5,37,"COMPARE TWO ITEMS UNTIL THEY STOP ROTATING, ONCE THEY STOP ROTATING CLICK ON THE ITEM IN WHICH YOU LEFT OFF TO COMPARE TO THE NEXT ITEM, AND CONTINUE UNTIL ITEMS STOP ROTATING"
6,66,Continue to swap pieces until you have put them as far to the left as they will allow.
7,60,"Click on the blocks in pairs from left to right.  If you find a pair that switches, go back and make sure none of the blocks behind switch, then continue where you left off, repeating the pattern."
8,35,"as you sort the gold blocks, compare them to the previous and next blocks to sort them."
9,75,"Select 2 blocks. It is recommended to start playing from left to right. Select the first and second block on the left and see whether they switch places. It is ok if they do or don't. Then select the 2nd and 3rd block. If they swap that means that Block 3 should be in Block 2's place. Now to make sure let's select Block 2 and Block 1. If they stay the same, no worries. If they swap places, that's ok. The goal of the game is to put the gold blocks in order. Repeat this method for every block. The goal is to order the blocks correctly with minimal attempts/moves. Good luck!"
10,52,"Instead of using a compare the first block to the second block, then compare the first block to the third block, etc., the Omgne Sort is a more direct and less repetitive sorting system which doesn't repeat steps over and over. The Omgne Sort compares the first block to the second and then the second to the third. Only when there is an actual block swap do you then go backwards in your possible swapping of blocks, i.e. if the fourth and fifth blocks swap, then you go backwards trying to swap blocks until they don't swap anymore."
